PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Air_Quality
43.78,124.06,6.29,19.29,15.47,9.87,0.64,11.35,29.47,1.03,6.87,0.58,130.0,Moderate
85.69,173.56,34.51,50.15,84.09,26.58,1.06,13.24,35.88,30.27,38.15,3.36,202.0,Poor
20.08,45.27,2.08,12.48,7.4,7.7,0.35,3.65,19.24,0.21,2.06,0.1,46.0,Good
61.41,96.56,5.45,10.43,14.54,10.28,0.68,4.48,49.34,0.37,4.66,0.13,122.0,Moderate
148.19,169.57,14.79,29.28,34.14,34.91,14.13,5.94,31.57,2.06,6.92,1.75,340.0,Very Poor
75.99,150.83,33.52,56.35,67.25,22.24,1.01,10.76,22.76,2.37,4.55,0.33,179.0,Moderate
38.51,95.89,11.8,10.58,21.27,19.43,0.49,12.69,25.22,4.52,2.12,10.62,93.0,Satisfactory
48.1,83.63,5.25,14.86,20.16,18.61,0.55,11.62,60.57,3.68,7.67,0.74,106.0,Moderate
121.81,193.4,11.17,100.16,62.36,8.62,0.96,10.56,24.73,0.1,0.15,0.1,302.0,Very Poor
28.39,73.3,8.82,29.68,25.85,27.59,0.79,4.71,31.52,0.32,2.11,0.38,92.0,Satisfactory
72.03,120.93,3.27,37.2,22.02,19.45,0.62,4.84,40.0,1.79,7.86,0.74,154.0,Moderate
45.81,66.69,2.1,11.52,7.83,15.1,0.66,15.86,44.3,0.52,1.06,0.1,82.0,Satisfactory
72.34,103.82,1.6,13.46,8.46,18.4,0.71,17.81,56.41,0.75,5.72,0.11,162.0,Moderate
78.23,140.66,5.36,45.76,28.7,21.73,0.05,12.45,45.35,0.19,4.83,0.08,172.0,Moderate
33.28,75.5,10.44,32.4,25.96,23.03,1.11,8.91,30.15,0.07,0.07,0.1,88.0,Satisfactory
93.95,190.73,19.47,105.22,71.79,3.81,1.81,20.78,39.9,0.11,0.3,0.15,190.0,Moderate
21.39,59.34,1.7,10.33,6.78,34.73,0.56,13.18,20.02,3.12,0.5,1.02,54.0,Satisfactory
96.95,162.86,4.57,17.22,13.93,1.0,0.85,10.64,12.77,1.5,5.61,3.76,245.0,Poor
126.66,184.73,9.63,94.51,58.1,13.66,1.45,11.75,26.07,0.12,0.22,0.1,306.0,Very Poor
92.38,205.42,21.66,21.67,44.01,6.61,0.17,2.87,9.65,10.0,2.81,6.66,170.0,Moderate
41.79,83.61,6.97,12.09,11.87,40.76,0.66,6.83,8.97,4.17,0.22,0.69,80.0,Satisfactory
57.68,159.45,8.99,31.11,33.05,39.58,0.88,9.34,48.47,2.71,6.46,0.0,146.0,Moderate
176.17,259.0,55.94,53.51,53.32,50.7,1.18,22.15,36.35,1.26,4.52,0.08,336.0,Very Poor
59.59,144.61,17.56,11.48,27.13,12.19,0.74,11.15,50.25,2.0,2.07,2.0,128.0,Moderate
26.01,50.98,1.54,4.65,3.73,8.62,0.45,24.44,29.73,0.07,0.33,0.1,51.0,Satisfactory
51.84,116.94,8.45,51.24,33.77,20.48,0.81,17.02,41.68,2.14,16.62,2.48,110.0,Moderate
74.32,61.18,12.62,8.36,20.99,5.07,0.98,6.52,44.43,0.83,2.6,5.52,196.0,Moderate
130.16,239.25,66.72,14.57,81.29,3.21,2.31,6.87,19.05,9.79,11.89,20.02,309.0,Very Poor
50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,0.2,4.29,0.1,132.0,Moderate
56.93,97.74,3.6,1.18,2.04,11.93,0.96,10.7,29.23,1.35,7.32,1.0,120.0,Moderate
45.49,106.29,4.86,8.74,11.95,8.93,0.92,8.03,31.7,1.15,5.14,2.61,119.0,Moderate
64.93,100.92,9.23,22.8,8.34,21.5,0.35,45.54,68.19,0.2,2.78,1.8,134.0,Moderate
71.83,98.89,8.49,21.42,19.55,12.44,11.62,10.99,22.51,1.38,4.63,2.6,324.0,Very Poor
32.11,71.02,18.58,13.58,30.02,12.53,0.99,15.4,25.75,3.86,1.97,8.95,77.0,Satisfactory
78.87,199.37,44.04,44.71,61.88,36.24,1.23,13.42,32.93,4.74,50.77,0.83,237.0,Poor
123.6,163.55,107.88,42.38,141.74,22.38,1.49,10.71,10.29,0.73,8.62,2.42,233.0,Poor
59.08,170.14,11.3,38.55,32.02,27.21,0.88,20.09,54.95,2.46,14.87,0.58,153.0,Moderate
19.42,69.33,5.64,13.23,11.71,10.96,0.41,5.6,47.28,0.29,0.25,0.1,75.0,Satisfactory
19.8,34.77,2.36,30.66,18.32,4.41,0.76,14.36,38.26,0.08,2.31,0.28,78.0,Satisfactory
107.68,224.99,96.3,54.42,142.7,25.16,1.83,14.33,32.56,39.26,53.86,9.44,242.0,Poor
76.92,149.43,16.31,34.92,44.75,40.88,0.96,9.03,38.43,1.02,2.66,0.23,217.0,Poor
41.28,64.98,62.21,34.22,93.46,22.91,0.79,7.1,11.95,2.12,8.77,2.1,116.0,Moderate
68.72,209.02,29.31,40.53,49.0,31.36,0.87,15.42,37.42,2.63,24.39,3.61,170.0,Moderate
276.25,428.08,48.32,55.08,85.75,59.73,2.04,21.02,72.89,5.19,14.81,0.05,411.0,Severe
16.31,41.38,2.77,20.7,13.14,10.75,0.27,6.36,17.31,0.23,1.84,0.21,41.0,Good
12.37,39.29,66.2,11.68,58.88,11.3,0.39,8.63,31.79,0.55,3.05,0.14,98.0,Satisfactory
34.68,91.62,3.27,28.48,17.59,12.87,0.64,6.41,46.07,1.06,7.43,1.54,84.0,Satisfactory
18.81,42.64,4.68,18.42,9.9,8.98,0.44,2.59,15.61,0.39,3.21,0.27,52.0,Satisfactory
10.01,21.56,3.66,15.18,10.9,20.31,0.46,5.97,13.9,0.59,0.67,0.15,51.0,Satisfactory
58.91,131.93,5.36,77.1,82.45,13.85,1.1,2.76,19.82,5.69,7.65,6.37,125.0,Moderate
15.91,33.28,0.46,2.04,0.86,3.7,0.4,13.09,33.05,0.63,1.54,0.12,64.0,Satisfactory
41.82,112.97,3.04,27.4,16.87,11.89,0.6,7.03,46.78,1.21,9.22,2.56,112.0,Moderate
240.87,359.22,67.41,65.83,99.76,85.25,2.28,19.92,37.61,8.46,26.32,0.1,384.0,Very Poor
11.82,36.34,7.7,11.63,5.34,3.92,0.09,5.31,31.88,0.0,0.22,0.01,53.0,Satisfactory
101.36,203.72,46.16,67.53,113.86,27.79,0.95,27.0,47.61,22.97,32.33,3.43,222.0,Poor
80.27,181.64,11.27,14.51,24.08,29.79,0.54,12.37,22.51,2.36,3.33,1.96,147.0,Moderate
211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,6.65,15.45,3.36,358.0,Very Poor
18.79,60.26,5.2,20.45,15.18,18.52,1.1,10.01,22.54,0.1,0.07,0.1,76.0,Satisfactory
86.96,129.99,3.65,28.32,18.03,21.23,0.05,4.83,62.6,0.23,6.93,0.07,186.0,Moderate
23.62,49.13,12.23,9.02,21.25,10.42,0.76,5.33,10.8,2.93,1.13,2.0,50.0,Good
76.48,131.86,4.06,33.37,21.04,22.05,0.06,7.49,45.71,0.16,4.43,0.06,160.0,Moderate
103.93,170.12,37.45,46.48,72.84,50.89,1.21,10.25,38.83,1.73,4.16,0.35,189.0,Moderate
19.9,43.33,7.72,14.33,19.9,11.88,0.37,3.5,19.35,9.5,9.06,2.33,50.0,Good
90.1,211.47,29.38,55.76,57.47,29.3,1.19,24.4,54.67,4.02,27.15,1.03,194.0,Moderate
34.05,90.68,16.53,9.83,25.86,1.68,0.93,4.27,17.23,5.27,0.89,21.98,96.0,Satisfactory
15.35,34.76,2.34,10.7,6.72,5.67,0.35,4.2,16.83,0.14,0.47,0.04,43.0,Good
15.17,40.56,0.93,18.2,10.43,1.28,0.39,23.12,30.24,0.09,0.56,0.16,43.0,Good
127.75,224.02,27.87,46.76,52.38,39.61,1.22,18.24,35.32,3.12,18.7,0.59,244.0,Poor
15.53,48.65,7.46,13.28,6.56,3.57,0.15,13.54,29.3,0.07,0.45,0.18,57.0,Satisfactory
61.47,126.86,3.49,39.51,23.68,20.6,0.84,7.69,44.76,1.76,6.16,1.94,126.0,Moderate
39.89,122.86,15.98,25.06,28.28,42.39,0.8,8.96,28.09,1.08,22.42,0.29,122.0,Moderate
83.78,214.66,86.96,44.68,93.15,35.57,1.78,12.98,37.24,6.51,75.0,0.12,200.0,Moderate
29.61,63.17,8.27,17.97,12.7,6.2,0.0,5.13,30.97,0.18,3.63,0.79,54.0,Satisfactory
45.69,75.81,9.02,16.58,17.41,33.68,0.58,12.82,30.59,1.38,8.88,0.7,93.0,Satisfactory
43.07,94.9,17.87,34.07,35.15,26.21,0.99,8.34,32.54,2.99,25.91,1.52,113.0,Moderate
12.01,28.41,7.47,13.82,13.43,6.44,0.64,11.34,25.6,0.27,4.01,0.29,45.0,Good
74.7,164.93,18.53,71.55,51.58,18.51,0.94,24.2,28.57,6.74,51.33,16.8,146.0,Moderate
32.22,57.98,16.81,25.1,28.9,38.33,0.89,9.27,18.6,1.26,25.4,0.6,90.0,Satisfactory
41.19,69.42,8.24,25.88,19.3,13.79,0.65,4.18,28.71,0.36,1.15,0.02,82.0,Satisfactory
39.78,99.47,3.35,35.85,21.56,13.68,0.68,7.12,52.49,1.35,7.38,1.44,101.0,Moderate
79.19,156.46,9.99,63.74,41.56,25.5,1.14,10.11,47.69,3.89,22.93,4.49,169.0,Moderate
82.05,170.76,10.07,65.66,42.69,24.8,1.26,15.01,57.5,4.37,25.14,5.62,180.0,Moderate
44.71,79.43,13.34,10.76,16.12,10.13,0.79,9.81,26.84,4.48,1.84,8.94,106.0,Moderate
50.17,139.66,8.29,30.02,24.22,38.11,0.88,13.28,40.31,3.22,3.17,9.96,115.0,Moderate
13.45,34.6,1.0,24.16,13.66,4.77,0.46,14.9,40.53,0.06,1.31,0.2,48.0,Good
261.77,743.98,11.58,25.75,30.62,32.58,0.77,6.91,27.45,2.33,4.31,0.0,453.0,Severe
261.82,390.1,74.66,65.49,101.07,90.28,2.49,20.17,32.64,7.62,23.27,0.1,415.0,Severe
11.66,24.68,5.61,17.79,13.61,15.41,0.32,6.65,13.69,0.43,2.71,0.28,42.0,Good
86.98,116.0,2.72,1.94,4.51,11.18,0.62,3.9,35.23,1.66,8.04,0.31,156.0,Moderate
21.86,56.69,4.74,19.35,14.24,5.9,0.45,19.19,31.87,0.44,16.07,0.39,55.0,Satisfactory
15.28,47.66,7.99,14.93,8.08,4.83,0.17,4.23,29.08,0.26,1.63,1.11,55.0,Satisfactory
54.63,103.16,4.8,38.84,23.63,10.34,0.52,8.73,34.91,2.23,16.75,1.3,95.0,Satisfactory
31.64,69.39,2.6,18.65,11.86,24.14,0.66,9.58,39.56,0.06,0.07,0.1,75.0,Satisfactory
25.7,83.58,14.86,23.5,25.93,30.55,0.66,9.09,23.92,0.97,20.03,0.1,92.0,Satisfactory
40.99,122.69,4.32,29.54,19.32,17.01,0.6,24.37,44.5,0.06,0.08,0.1,130.0,Moderate
14.08,36.16,2.62,13.32,8.47,10.86,0.41,6.12,25.58,0.34,2.23,0.18,54.0,Satisfactory
42.9,83.39,39.94,33.22,68.27,28.29,0.79,8.69,14.24,2.35,7.5,2.48,111.0,Moderate
20.96,43.09,3.85,12.27,15.97,16.92,0.39,3.36,27.4,12.24,12.76,1.34,49.0,Good
10.85,39.43,9.06,11.31,6.69,4.9,0.16,5.26,34.33,0.0,0.37,0.16,63.0,Satisfactory
78.61,134.46,14.49,29.85,30.31,32.61,0.92,16.63,47.67,2.86,21.43,0.5,198.0,Moderate
84.06,157.66,14.88,42.4,56.58,39.24,0.53,29.47,44.52,8.42,14.1,1.6,203.0,Poor
37.53,64.2,1.97,14.1,9.09,21.98,0.44,15.75,40.59,0.41,1.1,0.14,88.0,Satisfactory
14.16,42.72,2.58,11.66,8.18,34.48,0.53,10.29,22.93,3.47,0.64,1.22,42.0,Good
22.53,43.48,5.57,19.81,12.99,13.38,0.6,8.3,12.59,0.49,2.99,0.53,72.0,Satisfactory
163.35,242.73,89.4,64.25,63.05,48.44,1.45,27.79,52.91,1.16,4.65,0.09,327.0,Very Poor
50.27,137.52,13.22,34.29,41.32,44.48,1.09,10.5,56.29,0.95,2.63,0.0,142.0,Moderate
46.43,117.84,14.59,37.1,34.22,34.1,1.15,8.6,29.1,2.39,26.17,0.33,137.0,Moderate
54.98,115.66,10.14,46.64,16.51,17.73,0.0,12.33,53.74,0.07,1.1,0.13,110.0,Moderate
61.42,135.43,27.77,47.07,74.3,25.61,0.87,13.04,36.19,23.65,33.33,2.65,129.0,Moderate
32.36,55.29,17.81,10.18,25.52,14.76,0.3,7.66,16.87,3.19,1.08,9.33,73.0,Satisfactory
86.92,170.48,67.18,59.83,122.19,26.43,1.33,10.57,36.57,15.17,40.21,4.52,187.0,Moderate
62.35,125.7,20.22,39.97,60.07,23.2,0.8,12.65,39.43,19.31,23.37,1.71,148.0,Moderate
314.32,500.04,99.58,71.37,123.63,55.54,2.92,15.86,38.29,7.27,60.46,3.88,460.0,Severe
46.3,84.99,15.71,9.68,14.7,17.99,0.79,8.19,7.92,3.67,6.04,1.02,100.0,Satisfactory
35.06,83.66,11.86,30.96,29.14,32.66,1.03,8.45,29.29,2.14,24.9,0.32,95.0,Satisfactory
401.58,560.68,112.95,77.63,145.67,67.29,3.36,18.21,50.65,10.84,74.07,19.67,557.0,Severe
45.79,94.86,36.01,11.14,34.87,46.37,0.93,11.32,14.29,8.27,1.11,0.99,102.0,Moderate
67.57,186.0,20.68,52.24,17.22,33.02,0.2,21.64,34.77,0.33,4.68,3.14,146.0,Moderate
18.82,41.48,1.33,9.31,5.96,41.67,0.3,10.6,17.01,2.75,1.56,0.78,30.0,Good
128.62,247.05,84.98,64.93,149.92,34.09,2.09,19.89,26.8,41.65,55.06,5.08,298.0,Poor
50.71,115.65,7.91,35.16,25.13,11.19,0.06,8.16,32.58,0.13,3.19,0.08,117.0,Moderate
12.45,30.36,3.08,26.62,16.74,3.09,0.53,17.43,27.85,0.1,1.04,0.17,70.0,Satisfactory
30.44,74.28,7.51,6.96,11.27,5.97,0.94,8.51,21.91,0.99,5.15,1.88,86.0,Satisfactory
49.94,140.48,29.86,23.78,36.57,47.46,1.0,8.79,12.05,8.7,0.41,2.84,124.0,Moderate
9.28,16.42,5.01,7.85,8.31,14.27,0.92,8.12,12.29,0.04,0.03,0.1,57.0,Satisfactory
56.47,158.03,13.78,12.76,35.48,8.69,0.75,2.59,23.55,4.01,1.48,0.96,124.0,Moderate
75.81,155.25,14.33,43.47,53.25,28.75,1.61,10.89,67.89,3.12,11.08,1.99,204.0,Poor
27.95,50.61,7.85,8.96,16.73,10.06,0.5,5.53,17.22,3.35,1.13,12.05,52.0,Satisfactory
64.09,163.99,10.4,44.5,12.84,29.14,0.22,26.83,57.97,0.25,3.35,2.7,165.0,Moderate
37.93,67.4,3.85,20.86,14.32,19.44,0.78,8.91,34.81,0.07,0.17,0.14,68.0,Satisfactory
49.73,155.18,8.94,35.29,10.53,41.98,0.12,15.24,48.24,0.16,1.49,0.24,131.0,Moderate
37.67,101.49,8.09,45.98,13.6,11.83,0.01,6.55,35.03,0.06,1.71,6.22,103.0,Moderate
161.78,234.94,44.61,63.78,97.34,45.99,1.76,21.21,75.71,4.34,18.32,1.63,388.0,Very Poor
38.67,82.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,0.06,2.18,0.11,88.0,Satisfactory
14.77,43.48,8.25,16.09,7.86,4.21,0.17,5.99,30.48,0.25,1.33,2.26,63.0,Satisfactory
15.74,67.22,22.04,16.48,30.38,13.38,0.77,17.19,43.02,1.29,1.09,1.98,74.0,Satisfactory
36.24,84.55,0.66,19.93,10.94,4.56,0.46,21.35,54.64,0.06,1.09,0.11,91.0,Satisfactory
28.23,79.28,5.4,12.66,9.64,37.36,0.62,12.42,73.94,7.0,3.69,3.2,120.0,Moderate
149.59,219.96,92.59,40.53,131.91,32.43,1.69,10.37,16.59,1.37,8.17,2.35,304.0,Very Poor
35.27,76.37,10.0,22.96,18.73,17.45,0.35,6.09,32.66,0.83,4.01,0.08,86.0,Satisfactory
46.9,155.61,10.81,34.92,31.12,32.64,0.74,12.17,39.06,1.93,11.0,2.05,168.0,Moderate
27.5,61.15,2.68,26.94,16.33,11.99,0.53,3.66,42.82,0.87,3.95,0.41,70.0,Satisfactory
173.56,346.51,84.08,67.36,108.93,41.69,2.46,18.87,57.94,7.01,50.88,5.3,335.0,Very Poor
65.12,95.22,9.51,9.67,17.61,12.16,0.28,11.92,32.48,2.25,2.44,1.85,156.0,Moderate
45.87,98.28,5.3,8.87,12.6,10.49,0.88,7.81,27.92,1.33,7.7,1.0,104.0,Moderate
137.28,93.47,7.99,7.93,15.71,7.42,1.03,8.39,36.15,1.63,8.02,0.22,316.0,Very Poor
32.57,83.68,2.85,25.25,15.51,13.47,0.83,5.81,45.54,0.66,3.49,0.58,93.0,Satisfactory
16.52,36.76,1.14,3.14,2.26,4.47,0.61,8.92,39.57,0.67,2.24,0.12,101.0,Moderate
27.42,57.28,3.36,19.38,13.04,7.89,0.32,6.83,77.6,16.54,8.98,89.7,129.0,Moderate
42.06,72.38,17.6,27.63,30.0,30.05,1.06,9.96,26.15,2.11,29.86,0.79,89.0,Satisfactory
55.66,78.64,10.22,20.13,26.74,30.62,9.56,9.34,34.15,2.01,4.89,1.8,283.0,Poor
47.22,86.73,12.61,26.91,39.57,21.54,0.55,14.65,55.33,6.0,12.07,1.34,117.0,Moderate
17.99,48.09,2.41,8.02,5.87,6.06,0.47,9.11,29.02,1.46,3.2,0.2,79.0,Satisfactory
135.21,255.42,38.85,51.93,61.7,40.93,1.6,14.37,36.97,4.06,32.22,1.72,292.0,Poor
13.72,51.33,21.63,14.02,31.4,12.69,0.74,9.17,43.02,1.36,1.6,2.0,48.0,Good
75.02,157.98,62.34,54.45,105.24,23.12,1.11,13.18,39.37,29.26,39.26,4.05,172.0,Moderate
133.53,309.8,18.63,41.42,60.05,62.82,1.19,4.74,20.3,3.0,11.05,27.68,318.0,Very Poor
45.69,98.84,9.31,20.98,10.8,11.57,0.0,7.2,29.15,0.18,3.48,1.29,80.0,Satisfactory
84.89,137.8,9.65,9.93,19.5,5.01,0.5,9.17,26.53,2.93,3.45,2.0,145.0,Moderate
69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,0.16,3.52,0.06,165.0,Moderate
36.49,88.06,18.67,29.32,33.72,40.19,1.21,10.43,31.87,1.88,38.17,0.11,109.0,Moderate
44.19,57.0,7.11,17.6,19.91,28.77,9.58,7.75,26.81,1.45,3.4,1.53,268.0,Poor
59.53,124.78,3.6,44.63,26.49,18.75,0.79,9.57,50.92,1.63,9.03,1.71,123.0,Moderate
58.24,107.55,4.47,35.21,25.04,14.13,0.53,9.14,28.29,3.18,33.54,2.0,100.0,Satisfactory
79.3,214.51,21.81,46.42,58.38,49.72,1.12,11.9,60.39,1.71,3.66,0.0,221.0,Poor
22.92,44.3,5.29,14.3,19.42,11.54,0.39,2.49,24.96,12.41,7.78,2.56,44.0,Good
69.33,136.56,7.91,50.13,33.14,20.13,1.0,8.51,48.7,4.08,22.77,4.66,143.0,Moderate
60.4,117.57,4.36,46.04,27.83,19.96,0.71,6.93,47.74,2.48,12.28,4.47,125.0,Moderate
48.6,136.91,28.66,49.52,82.69,4.74,0.63,2.82,13.82,11.9,7.85,6.61,130.0,Moderate
24.16,59.22,1.81,26.79,9.83,12.18,0.53,26.62,41.27,0.28,1.46,0.16,78.0,Satisfactory
66.39,145.96,18.06,11.42,27.62,12.09,0.87,9.98,45.62,2.11,2.42,1.96,139.0,Moderate
172.55,315.75,68.88,71.76,88.37,46.22,1.96,15.25,49.74,3.07,5.52,0.79,321.0,Very Poor
187.85,331.22,77.16,61.06,102.45,45.84,2.04,16.39,40.01,6.49,61.33,2.27,356.0,Very Poor
27.51,78.19,9.16,25.71,19.82,13.03,0.46,4.96,20.64,1.51,8.79,0.63,79.0,Satisfactory
12.89,26.39,2.53,9.64,7.23,4.25,0.5,15.68,29.49,0.09,1.26,0.2,39.0,Good
70.3,134.14,8.62,45.89,10.47,19.35,0.0,7.48,50.11,0.02,0.31,0.04,161.0,Moderate
51.51,111.28,20.08,57.93,47.24,2.03,1.07,12.3,26.53,0.04,0.11,0.1,105.0,Moderate
154.64,243.95,30.06,63.57,3.47,47.42,1.47,17.4,56.22,3.27,6.83,0.7,318.0,Very Poor
15.1,36.13,9.48,14.19,8.64,6.12,0.25,5.1,32.06,0.28,1.92,0.71,67.0,Satisfactory
57.16,123.23,18.34,40.79,40.39,38.62,1.41,9.14,33.71,2.72,26.9,1.11,123.0,Moderate
69.8,191.17,11.86,25.01,25.66,30.36,0.94,19.42,41.87,2.4,13.75,0.01,172.0,Moderate
43.39,97.86,9.2,33.52,24.66,14.85,0.68,7.02,24.86,3.4,21.63,2.29,87.0,Satisfactory
30.21,61.21,7.75,24.42,17.97,17.69,0.38,5.75,24.31,1.08,8.07,0.23,67.0,Satisfactory
51.55,105.97,8.65,18.33,12.88,38.34,0.79,10.01,55.3,7.29,3.45,2.95,113.0,Moderate
27.5,48.96,9.94,10.97,18.41,10.72,0.43,15.86,16.11,3.91,1.14,12.61,55.0,Satisfactory
152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,2.84,5.37,3.49,358.0,Very Poor
74.94,148.17,18.07,68.63,50.51,20.76,1.4,16.67,51.64,5.42,32.45,6.21,164.0,Moderate
136.72,240.57,58.83,56.31,84.2,41.37,1.48,12.36,26.8,4.62,26.36,0.37,251.0,Poor
68.32,181.17,18.6,30.42,53.75,13.4,1.53,5.1,12.65,9.66,7.47,5.87,129.0,Moderate
50.19,78.52,5.04,12.41,17.49,19.22,0.57,11.65,69.65,2.61,6.5,0.51,117.0,Moderate
52.95,69.41,13.13,13.09,21.88,5.98,0.63,6.56,26.89,2.08,2.13,2.0,184.0,Moderate
52.04,186.28,15.13,43.35,12.52,41.5,0.19,24.0,25.22,0.2,2.61,0.43,144.0,Moderate
55.36,107.88,9.34,37.83,27.59,16.47,0.74,17.25,59.62,6.36,31.59,5.29,111.0,Moderate
51.92,134.45,4.83,37.2,23.05,15.48,0.71,6.0,54.12,1.8,14.25,1.71,124.0,Moderate
38.7,82.24,1.45,16.29,9.94,4.22,0.48,15.76,42.04,0.14,1.06,0.11,83.0,Satisfactory
79.29,102.93,48.39,25.79,73.4,29.47,1.62,8.45,9.87,2.69,1.24,4.59,205.0,Poor
66.94,300.7,11.7,30.33,26.82,43.32,1.03,12.64,60.03,1.79,8.62,0.11,232.0,Poor
51.51,168.11,15.19,36.61,34.28,29.84,1.02,20.65,41.86,2.02,20.11,0.71,150.0,Moderate
24.9,53.83,10.48,8.82,14.49,7.69,0.0,3.84,40.09,1.33,0.84,3.01,55.0,Satisfactory
68.06,130.57,4.64,45.84,27.64,17.45,0.71,6.27,34.76,1.91,12.52,1.36,130.0,Moderate
35.52,68.81,16.51,9.41,20.08,18.25,0.7,22.39,38.58,3.81,1.93,8.94,79.0,Satisfactory
61.95,101.09,4.68,12.21,9.97,37.32,0.53,6.01,4.85,3.04,0.14,0.73,89.0,Satisfactory
57.31,175.25,31.74,26.18,58.62,15.28,0.02,5.98,21.27,14.68,2.54,11.44,138.0,Moderate
26.93,89.58,8.12,15.83,16.95,26.06,0.64,14.08,53.53,1.07,7.79,0.0,123.0,Moderate
23.36,53.68,7.68,19.73,15.18,12.67,0.39,3.72,23.68,0.63,3.39,0.05,56.0,Satisfactory
58.12,96.04,8.65,67.71,13.14,42.78,0.36,44.42,49.82,0.07,1.16,1.32,102.0,Moderate
58.22,124.28,11.9,37.53,30.36,33.9,1.02,13.4,54.85,2.15,21.65,0.15,217.0,Poor
59.64,88.85,1.67,12.12,7.81,14.99,0.77,17.53,57.26,0.89,3.38,0.12,96.0,Satisfactory
52.61,100.26,4.09,25.06,20.72,32.17,0.89,14.62,58.4,3.26,3.43,12.11,114.0,Moderate
46.2,115.57,7.78,45.12,29.83,12.59,0.61,14.26,25.38,4.55,37.94,12.65,118.0,Moderate
48.85,74.56,7.77,9.49,17.26,10.22,0.17,12.12,22.14,4.4,1.15,14.56,75.0,Satisfactory
35.3,89.42,0.8,17.33,9.84,4.32,0.47,17.09,44.47,0.06,1.16,0.11,95.0,Satisfactory
20.98,64.42,6.11,26.87,18.67,12.12,0.29,8.39,15.33,0.87,6.02,1.87,53.0,Satisfactory
41.47,90.61,0.72,18.25,10.27,4.59,0.5,16.21,54.72,0.05,1.29,0.13,101.0,Moderate
66.74,189.28,14.43,34.14,42.86,37.69,1.02,7.65,64.55,1.19,1.84,0.0,161.0,Moderate
26.64,57.84,6.44,19.09,18.62,18.67,0.51,5.22,28.01,0.09,0.68,0.08,85.0,Satisfactory
23.5,63.96,75.71,17.02,55.3,11.52,0.42,10.12,26.04,0.81,4.11,0.37,118.0,Moderate
