Model Id,Epochs,Time,Hidden Layer Neurons,Learning Rate,Batch Size,Test Size,Training Loss Min,Validation Loss Min,Training Accuracy Max,Validation Accuracy Max
yBrc,33,7.56,"[128, 128, 64]",0.003,128,0.2,0.205,0.3563,0.9187,0.8746
BvzX,28,6.43,"[128, 128, 64]",0.003,128,0.2,0.2286,0.3659,0.9095,0.8722
1miJ,32,7.44,"[128, 128, 64]",0.003,128,0.2,0.1899,0.3519,0.9246,0.8815
V0e8,40,8.79,"[128, 128, 64]",0.003,128,0.2,0.1789,0.3551,0.9294,0.8818
b8rq,29,7.45,"[128, 128, 128, 32]",0.003,128,0.2,0.2174,0.3784,0.9142,0.8728
oJgE,28,7.66,"[128, 128, 128, 32]",0.003,128,0.2,0.2123,0.3591,0.9163,0.8695
FKBP,31,8.3,"[128, 128, 128, 32]",0.003,128,0.2,0.1929,0.3529,0.9261,0.88
OFkp,37,9.44,"[128, 128, 128, 32]",0.003,128,0.2,0.1773,0.3425,0.9321,0.8782
5iUU,28,10.74,"[512, 256, 128, 32]",0.001,128,0.2,0.1881,0.3556,0.9257,0.8763
88EM,34,13.58,"[512, 256, 128, 32]",0.001,128,0.2,0.1574,0.3462,0.9393,0.8783
sKRf,37,14.52,"[512, 256, 128, 32]",0.001,128,0.2,0.1524,0.3482,0.9397,0.8825
jeRO,41,15.62,"[512, 256, 128, 32]",0.001,128,0.2,0.1325,0.3335,0.9494,0.8838
sRRt,36,14.92,"[512, 256, 128, 64, 32]",0.001,128,0.2,0.1467,0.3479,0.9428,0.884
gRmc,40,16.77,"[512, 256, 128, 64, 32]",0.001,128,0.2,0.1389,0.3433,0.9463,0.8857
m6Jc,34,14.08,"[512, 256, 128, 64, 32]",0.001,128,0.2,0.1573,0.3523,0.9393,0.874
0mK5,30,12.29,"[512, 256, 128, 64, 32]",0.001,128,0.2,0.1783,0.3667,0.9299,0.8763
7VdT,44,9.92,"[128, 128, 64]",0.001,128,0.2,0.2196,0.3723,0.9132,0.8655
dJO7,43,9.48,"[128, 128, 64]",0.001,128,0.2,0.2305,0.3677,0.9105,0.8678
GZHj,52,11.21,"[128, 128, 64]",0.001,128,0.2,0.1987,0.3587,0.9213,0.8757
7T4N,47,10.21,"[128, 128, 64]",0.001,128,0.2,0.2146,0.3614,0.9169,0.8685
N84a,40,10.64,"[128, 128, 128, 32]",0.001,128,0.2,0.2127,0.366,0.9178,0.8675
P8Tt,41,10.78,"[128, 128, 128, 32]",0.001,128,0.2,0.1971,0.3643,0.9217,0.8758
Ul0C,46,11.83,"[128, 128, 128, 32]",0.001,128,0.2,0.1925,0.3395,0.9252,0.8808
QL1Q,37,9.5,"[128, 128, 128, 32]",0.001,128,0.2,0.2189,0.3567,0.9131,0.87
Lu0V,34,13.38,"[512, 256, 128, 32]",0.007,128,0.2,0.2592,0.3753,0.9021,0.8682
2dCL,36,13.97,"[512, 256, 128, 32]",0.007,128,0.2,0.2371,0.364,0.9082,0.8746
loDW,30,11.4,"[512, 256, 128, 32]",0.007,128,0.2,0.2805,0.373,0.8935,0.8638
X3PE,31,12.51,"[512, 256, 128, 32]",0.007,128,0.2,0.268,0.4055,0.8954,0.8563
wyVD,39,16.34,"[512, 256, 128, 64, 32]",0.007,128,0.2,0.2635,0.3795,0.8998,0.8712
hd8w,45,18.12,"[512, 256, 128, 64, 32]",0.007,128,0.2,0.2366,0.3575,0.9075,0.8745
qmk4,36,15.13,"[512, 256, 128, 64, 32]",0.007,128,0.2,0.2463,0.3991,0.9034,0.86
96bc,43,17.7,"[512, 256, 128, 64, 32]",0.007,128,0.2,0.2487,0.3869,0.9045,0.8691
POt2,35,7.65,"[128, 128, 64]",0.007,128,0.2,0.2378,0.3992,0.904,0.862
bBdM,33,7.26,"[128, 128, 64]",0.007,128,0.2,0.2445,0.4044,0.903,0.8655
nZ0Y,32,7.59,"[128, 128, 64]",0.007,128,0.2,0.254,0.3689,0.9015,0.8623
